Year,Age,Deaths,Sex,Source,Country,Code,age_spn
2010,58,11171.352493276503,f,direct,USA,USA,1
2010,59,11517.363411070226,f,direct,USA,USA,1
2010,60,12037.379819315125,f,direct,USA,USA,1
2010,61,12934.408123537578,f,direct,USA,USA,1
2010,62,14148.446430478558,f,direct,USA,USA,1
2010,63,15631.49322553084,f,direct,USA,USA,1
2010,64,13571.42822363758,f,direct,USA,USA,1
2010,65,14216.448576172123,f,direct,USA,USA,1
2010,66,15551.49070118547,f,direct,USA,USA,1
2010,67,17027.537275357536,f,direct,USA,USA,1
2010,68,16770.529165898035,f,direct,USA,USA,1
2010,69,16879.5326053186,f,direct,USA,USA,1
2010,70,17567.55431468878,f,direct,USA,USA,1
2010,71,18436.58173539035,f,direct,USA,USA,1
2010,72,19481.614709651738,f,direct,USA,USA,1
2010,73,20061.633011155664,f,direct,USA,USA,1
2010,74,21459.677124090995,f,direct,USA,USA,1
2010,75,23124.72966202899,f,direct,USA,USA,1
2010,76,23647.746164936845,f,direct,USA,USA,1
2010,77,25695.810788178296,f,direct,USA,USA,1
2010,78,27985.883047564494,f,direct,USA,USA,1
2010,79,29891.943190092916,f,direct,USA,USA,1
2010,80,32362.02112925619,f,direct,USA,USA,1
2010,81,34047.07429828053,f,direct,USA,USA,1
2010,82,37004.16760439624,f,direct,USA,USA,1
2010,83,38906.227620707396,f,direct,USA,USA,1
2010,84,41165.298901909766,f,direct,USA,USA,1
2010,85,43840.38330970805,f,direct,USA,USA,1
2010,86,44505.40429332893,f,direct,USA,USA,1
2010,87,44084.39100896143,f,direct,USA,USA,1
2010,88,45048.42142732312,f,direct,USA,USA,1
2010,89,44265.396720292825,f,direct,USA,USA,1
2010,90,41649.314174199244,f,direct,USA,USA,1
2010,91,36868.163313009114,f,direct,USA,USA,1
2010,92,34877.100488363736,f,direct,USA,USA,1
2010,93,30598.96549899512,f,direct,USA,USA,1
2010,94,26949.85035729196,f,direct,USA,USA,1
2010,95,23675.747048457724,f,direct,USA,USA,1
2010,96,19366.611080905266,f,direct,USA,USA,1
2010,97,15194.479436294261,f,direct,USA,USA,1
2010,98,11657.367828674622,f,direct,USA,USA,1
2010,99,8819.278277522646,f,direct,USA,USA,1
2010,100,18222.574982766488,f,direct,USA,USA,-1
2010,0,13702.967321651,m,direct,USA,USA,1
2010,1,928.0655141214513,m,direct,USA,USA,1
2010,2,660.0465940949978,m,direct,USA,USA,1
2010,3,506.03572213949826,m,direct,USA,USA,1
2010,4,366.02583854358966,m,direct,USA,USA,1
