Country,iso3,sex,age,Nx,Dxhat_WM,Dx_expected,Dx_observed,GHE_2019,Dxhat_spinoff
Antigua and Barbuda,ATG,Female,85,410,122.091792652035,114.017201314687,NA,NA,212.7855869769416
Antigua and Barbuda,ATG,Male,0,3730,5.79591038945077,7.91786120240883,NA,NA,5.4733841685158655
Antigua and Barbuda,ATG,Male,5,3668,1.24247779875045,1.58357224048177,NA,NA,0.6728296813697366
Antigua and Barbuda,ATG,Male,10,3445,1.36717663010352,1.58357224048177,NA,NA,0.7082935027588895
Antigua and Barbuda,ATG,Male,15,3563,2.96187331722412,3.16714448096353,NA,NA,2.614595652767661
Antigua and Barbuda,ATG,Male,20,3827,7.70633867327626,7.91786120240883,NA,NA,4.101036048731598
Antigua and Barbuda,ATG,Male,25,3643,9.27132548512622,9.5014334428906,NA,NA,3.880928223738234
Antigua and Barbuda,ATG,Male,30,3375,7.7787367735618,7.91786120240883,NA,NA,4.195803533774002
Antigua and Barbuda,ATG,Male,35,3306,11.2161733424393,11.0850056833724,NA,NA,5.647658790281466
Antigua and Barbuda,ATG,Male,40,3209,11.6902665870993,11.0850056833724,NA,NA,8.369477430611637
Antigua and Barbuda,ATG,Male,45,3170,17.1366975598226,15.8357224048177,NA,NA,13.568414867861538
Antigua and Barbuda,ATG,Male,50,3159,29.4790100059381,26.92072808819,NA,NA,22.37124936942085
Antigua and Barbuda,ATG,Male,55,2786,45.4346515621213,41.1728782525259,NA,NA,32.56910106948994
Antigua and Barbuda,ATG,Male,60,2167,58.2520676861129,52.2578839358983,NA,NA,38.81139076267491
Antigua and Barbuda,ATG,Male,65,1578,53.3077923417099,47.507167214453,NA,NA,45.29200949381651
Antigua and Barbuda,ATG,Male,70,1163,65.2417257537521,58.5921728978254,NA,NA,57.87123345452049
Antigua and Barbuda,ATG,Male,75,741,67.3816992042284,60.1757451383071,NA,NA,67.97895260674319
Antigua and Barbuda,ATG,Male,80,418,78.575713871504007,69.6771785811977,NA,NA,72.1652929347756
Antigua and Barbuda,ATG,Male,85,321,113.670264435216,101.348623390833,NA,NA,141.5834635374632
Australia,AUS,Female,0,812208,318.490798102189,450.013893615987,220.670209366621,NA,383.9218322091924
Australia,AUS,Female,5,798241,32.0832450123953,46.246487090971,22.7597076925214,NA,45.5756810360438
Australia,AUS,Female,10,784728,38.3047870793683,50.693264695872,24.7388127092624,NA,40.58430591407459
Australia,AUS,Female,15,742431,110.757109192937,130.735261584091,106.871670904014,NA,113.65419190661765
Australia,AUS,Female,20,783346,124.439721414453,138.739461272913,112.808985954237,NA,141.66758988793737
Australia,AUS,Female,25,871181,179.721062674345,196.547570136627,160.307506356021,NA,187.16437505195822
Australia,AUS,Female,30,935876,281.897683140545,307.717010259153,251.346337126106,NA,287.6632750475552
Australia,AUS,Female,35,921292,421.144644275164,462.46487090971,377.019505689159,NA,409.4931992116017
Australia,AUS,Female,40,818343,592.523105591492,651.897596878495,531.389696994957,NA,561.8320077447873
Australia,AUS,Female,45,845813,893.832194927159,984.516561725094,802.527084288473,NA,903.0746856445949
Australia,AUS,Female,50,789390,1295.71220317457,1427.41561117324,1163.7137498437,NA,1276.5962060062243
Australia,AUS,Female,55,782011,1911.7115815696,2090.87482982448,1704.009419414,NA,1876.0112257492456
Australia,AUS,Female,60,724814,2588.25019944405,2751.66598191277,2242.32598396755,NA,2634.7880486844288
Australia,AUS,Female,65,630854,3646.9770320755,3747.74416541061,3803.83984217619,NA,3592.378325202494
Australia,AUS,Female,70,555787,5352.50414586022,5408.17092308066,5489.04776393115,NA,5358.012931659054
Australia,AUS,Female,75,397186,6898.47013911554,6930.74757499879,7274.20048903153,NA,6621.754654220867
Australia,AUS,Female,80,281672,9559.85029537961,9601.48220450236,10076.6131927368,NA,9472.313501509781
Australia,AUS,Female,85,326083,34738.8308427709,34828.051557106,36252.2561441532,NA,33430.67143474973
Australia,AUS,Male,0,857499,317.458745632776,570.966244469295,174.161241473208,NA,493.3242872928151
Australia,AUS,Male,5,841026,32.6494624250311,60.4761754266544,18.8014976590394,NA,53.4829518984777
Australia,AUS,Male,10,825846,41.736870348566796,67.5910195944961,20.7806026757804,NA,58.19871079614257
Australia,AUS,Male,15,777475,190.617997261004,257.023745563281,165.255268897873,NA,217.8408514559611
